Brand,Brand Collection,Name,Product,Item Type,Application,Description,Dealer Price,MSRP,Unit,Driver Components,Crossover,Frequency Response,Recommended Amp Power,Input Connectors,Mounting Options,Warranty,Woofer,Midrange,Tweeter,Coverage / Dispersion,Mounting Depth,Cutout Diameter,Speaker / Grille Diameter,Channels,Output Power @ 2 Ohm,Output Power @ 4 Ohm,Output Power @ 8 Ohm,Output Power @ 70V,Output Power @ 100V,Powersharing (up to),Power Consumption,Output Voltage,Total System Power,Inputs,Outputs,Power Handling,Dimensions,Weight,Impedance,Sensitivity,Max SPL,Transformer Taps,System Type,Enclosure,Colors
Origin Acoustics,Director,D61DT,In-Ceiling,Speaker,Indoor,"Director 6"" Series - 2-Way In-Ceiling Loudspeaker with a 6.5"" Poly-Rubber Woofer, Dual silk dome tweeters and Tool-Less Installation.",146,420,each (ea),,,48Hz–20kHz,,,,,"6.5"" Poly/Rubber",,"Dual 1"" Silk",,"4-5/8"" (117mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 40W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way Dual Tweeter,,
Origin Acoustics,Director,D63,In-Ceiling,Speaker,Indoor,"Director 6"" Series - 2-Way In-Ceiling Loudspeaker with a 6.5"" IMG Woofer, Pivoting Aluminum Tweeter and Tool-Less Installation.",113,328,each (ea),,,48Hz–20kHz,,,,,"6.5"" IMG",,"1"" Aluminum MMP™",,"3.5"" (89mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 40W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D63DT/SUR,In-Ceiling,Speaker,Indoor,"Director 6"" Series - Stereo In-Ceiling Loudspeaker with a 6.5"" IMG Woofer, Dual Aluminum Tweeters and Tool-Less Installation.",178,511,each (ea),,,48Hz–20kHz,,,,,"6.5"" IMG",,"Dual 1"" Aluminum",,"3-15/16"" (101mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 40W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way Dual Tweeter,,
Origin Acoustics,Director,D65,In-Ceiling,Speaker,Indoor,"Director 6"" Series - Fully Pivoting 2-Way In-Ceiling Loudspeaker with a 6.5"" IMG Woofer, Exclusive DPSD tweeter Technology and Tool-less Installation.",146,420,each (ea),,,45Hz–20kHz,,,,,"6.5"" IMG Pivoting",,"1"" Silk DPSD™ MMP™",,"5.25"" (134mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 40W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D65EX,In-Ceiling,Speaker,Marine,"Explorer Series - Fully Pivoting 2-Way In-Ceiling Loudspeaker with 6.5"" IMG Woofer, Aluminum Tweeter, Extended Weather Protection, and Tool-Less Installation.",178,511,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D67,In-Ceiling,Speaker,Indoor,"Director 6"" Series - Fully Pivoting 2-Way In-Ceiling Loudspeaker with a 6.5"" Glass Fiber Woofer, Exclusive DPSD tweeter Technology and Tool-less Installation.",178,511,each (ea),,,43Hz–20kHz,,,,,"6.5"" Glass Fiber Pivoting",,"1"" Silk DPSD™ MMP™",,"5.25"" (134mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 40W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D69,In-Ceiling,Speaker,Indoor,"Director 6"" Series - Fully Pivoting 2-Way In-Ceiling Loudspeaker with a 6.5"" Kevlar Woofer, Exclusive DPSD tweeter Technology and Tool-less Installation.",301,855,each (ea),,,40Hz–20kHz,,,,,"6.5"" Kevlar® Pivoting",,"1"" Silk DPSD™ MMP™",,"5.25"" (134mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 40W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D80DT,In-Ceiling,Speaker,Indoor,"8"" Series - In-Ceiling Loudspeaker with Silk dual Tweeters and 8"" Poly-Rubber Woofer, Tool-Less Installation.",167,479,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D83,In-Ceiling,Speaker,Indoor,"Director 8"" Series - In-Ceiling Loudspeaker with an 8"" IMG Woofer, Pivoting Aluminum Dome Tweeter and Tool-less Installation.",167,484,each (ea),,,38Hz–20kHz,,,,,"8"" IMG",,"1"" Aluminum MMP™",,"4.125"" (105mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 50W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D83A,In-Ceiling,Speaker,Indoor,"Director 8"" Series - In-Ceiling Loudspeaker with an 8"" IMG Woofer, Pivoting Aluminum Dome Tweeter and Tool-less Installation.",183,533,each (ea),,,38Hz–20kHz,,,,,"8"" IMG – Fixed Angle",,"1"" Aluminum MMP™",,"4-11/16"" (119mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 50W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way Fixed Angle,,
Origin Acoustics,Director,D83AEX,In-Ceiling,Speaker,Marine,"Explorer Series - 2-Way In-Ceiling Loudspeaker with Pre-Angled 8"" IMG Woofer, Pivoting Aluminum Tweeter, Extended Weather Protection, and Tool-Less Installation.",221,635,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D83DT/SUR,In-Ceiling,Speaker,Indoor,"Director 8"" Series - Stereo In-Ceiling Loudspeaker with an 8"" IMG Woofer, Dual Aluminum Tweeters and Tool-less Installation.",264,753,each (ea),,,38Hz–20kHz,,,,,"8"" IMG",,"Dual 1"" Aluminum",,"4.25"" (108mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 50W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 2-Way Dual Tweeter,,
Origin Acoustics,Director,D83DT/SUR EX,In-Ceiling,Speaker,Marine,"Explorer Series - 2-Way In-Ceiling Loudspeaker with 8"" IMG Woofer, Dual Aluminum Tweeters, Extended Weather Protection, and Tool-Less Installation.",328,941,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D83EX,In-Ceiling,Speaker,Marine,"Explorer Series - 2-Way In-Ceiling Loudspeaker with 8""  IMG Woofer, Pivoting Aluminum Tweeter, Extended Weather Protection, and Tool-Less Installation.",210,602,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D85,In-Ceiling,Speaker,Indoor,"Director 8"" Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with an 8"" IMG Woofer, Exclusive DPSD Tweeter Technology and Tool-less Installation.",237,683,each (ea),,,36Hz–20kHz,,,,,"8"" IMG","4"" IMG","3/4"" Silk DPSD™ MMP™",,"5-5/8"" (142mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 50W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 3-Way,,
Origin Acoustics,Director,D85EX,In-Ceiling,Speaker,Marine,"Explorer Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with 8""  IMG Woofer, Aluminum Tweeter, Extended Weather Protection, and Tool-Less Installation.",285,817,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D87,In-Ceiling,Speaker,Indoor,"Director 8"" Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with an 8"" Glass Fiber Woofer, Exclusive DPSD tweeter Technology and Tool-less Installation.",339,973,each (ea),,,34Hz–20kHz,,,,,"8"" Glass Fiber","4"" Glass Fiber","3/4"" Silk DPSD™ MMP™",,"5-5/8"" (142mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 50W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 3-Way,,
Origin Acoustics,Director,D89,In-Ceiling,Speaker,Indoor,"Director 8"" Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with an 8"" Kevlar Woofer, Exclusive DPSD tweeter Technology and Tool-less Installation.",576,1694,each (ea),,,30Hz–20kHz,,,,,"8"" Kevlar®","4"" Kevlar®","3/4"" Silk DPSD™ MMP™",,"5-5/8"" (142mm)","8.75"" (222mm)","Grille Dia: 10"" (254mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 50W RMS | Peak: 150W,"Spk Dia: 9-5/8"" (244mm)",,6?,,,,In-Ceiling Speaker 3-Way,,
Origin Acoustics,Director,DBA10EX,In-Ceiling,Subwoofer,Marine,"Explorer 10"" Series - Retrofit In-Ceiling Subwoofer with 10"" Glass Fiber Woofer, Temperature Resistant Plastic, IP66-Rating, and Tool-less Installation System.",285,656,each (ea),,,39Hz–200Hz (–10dB),,,,,"5.25"" Glass Fiber",,—,,"3.75"" (95mm)",,,,,,,,,,,,,,,RMS: 30–100W,,,4 ohm,,,,In-Ceiling Subwoofer,,
Origin Acoustics,Foundation,DSP2-200,Electronics,Amplifier,Indoor,"Foundation Series - DSP2-200: 2-channel 200W @4? amplifier. Bridgeable to 1x360W @8? mono. Min impedance: 4? (normal), 8? (bridged). Preset DSP EQ curves for Origin Acoustics speakers. RCA + Optical inputs (one active at a time, both with pass-through). Speaker output via Phoenix block connector. Sub Out (RCA). 12-14g wire recommended. Half-rack / 1U with ears.",511,1075,each (ea),,,,,,,,,,,,,,,2 x Lo-Z (L/R); bridgeable to 1 x mono,,2 x 200W (SE),1 x 360W (Bridged),,,,2.46A / 0.124A standby,,,1 x RCA Unbalanced (w/ pass-through); 1 x Optical (w/ pass-through),1 x Speaker Phoenix Connector (stereo); 1 x Sub Out RCA,,"8.5"" x 15.2"" x 2.2"" / 216 x 386 x 55mm (with feet)",,,,,,,,
Origin Acoustics,Foundation,DSP3-150,Electronics,Amplifier,Indoor,"Foundation Series - DSP3-150: 3-channel amplifier. L/R: 150W @ 4? each. Sub: 300W @ 4?. Min impedance: 4?. No 70V support. Preset DSP EQ curves for Origin Acoustics speakers. Inputs: 2x RCA A/B (unbalanced) + 1x Optical. Outputs: 2x RCA A/B pass-through. Speaker outputs via terminal blocks. Wire guide: 16g ?100ft, 14g 50-150ft, 12g >100ft. 2U rack mount.",753,1516,each (ea),,,20Hz - 20kHz,,,,,,,,,,,,3 x Lo-Z (L/R/Sub); no bridge mode,,"L: 150W, R: 150W, Sub: 300W",,,,,,,,2 x RCA A/B Unbalanced; 1 x Optical,2 x RCA A/B Unbalanced (pass-through); 3 x Speaker terminals,,"17"" x 14"" x 3.5"" / 433 x 357 x 88mm (without mounts)",,,,,,,,
Origin Acoustics,Foundation,DSP60.8,Electronics,Amplifier,Indoor,"Foundation Series - DSP60.8: 8-channel 1RU amplifier with mixed Lo-Z and Hi-Z outputs. 8x Lo-Z @ 60W (4/8?) + 4x Hi-Z @ 125W (70V). AutoShare up to 125W/ch within Ch1-4 and Ch5-8 groups. Total system power: 500W. Inputs: 4x RCA unbalanced, 2x balanced XLR (Ch1/Ch2 mic-capable, sensitivity via web app), S/PDIF in/out, RJ45 network, Wi-Fi, GPIO wall control, IEC power. Full DSP via Origin Acoustics web app. Crestron/Control4/Q-Sys compatible. Master/Slave via S/PDIF. ERP/Energy Star/UL listed. 1RU full rack.",1183,1984,each (ea),,,,,,,,,,,,,,,8 x Lo-Z / 4 x Hi-Z; no bridge mode,,8 x 60W (Lo-Z @ 4? and 8?),8 x 60W (same @ 8?),4 x 125W (Hi-Z @ 70V),"4 x 125W (Hi-Z @ 100V, -1dB ? 90V)",4 x 125W AutoShare (within Ch1-4 and Ch5-8 groups independently),150W active; <0.5W idle; 26.6W standby,,500W,4 x RCA Unbalanced; 2 x Balanced XLR (Ch1/Ch2 mic-capable); S/PDIF; RJ45 Network; Wi-Fi; GPIO wall control,8 x Lo-Z Speaker terminals; 4 x Hi-Z Speaker terminals; S/PDIF out,,"17.32"" W x 12.59"" D x 1.75"" H / 440 x 320 x 44.5 mm",7.8 lbs / 3.6 kg,,,,,,,
Origin Acoustics,Deep,DSUB6X2,In-Ceiling,Subwoofer,Indoor,,,,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,Handling: 60W Pink Noise / 120W Program / 240W Peak,,,6 Ohm,90dB @ 1m,,,"Three Chamber Bandpass Vibration Canceling, In-Ceiling Subwoofer",,
Origin Acoustics,Composer,LCR37,In-Wall,Speaker,Indoor,"Composer Theater Series - In-Wall LCR Loudspeaker with Exclusive Silk DPSD Tweeter, Dual 3.5"" Glass Fiber Woofers, and Patented SpringLock Tool-less Mounting System.",129,377,each (ea),,,70Hz–20kHz,,,,,"2× 3.5"" Glass Fiber",,"1"" Silk DPSD™",,,,,,,,,,,,,,,,,RMS: 35W RMS | Peak: 125W,,,6 ohm,,,,In-Wall LCR Speaker,,
Origin Acoustics,Composer,LCR39,In-Wall,Speaker,Indoor,"Composer Theater Series - In-Wall LCR Loudspeaker with Exclusive Silk DPSD Tweeter, Dual 3.5"" Kevlar Woofers, and Patented SpringLock Tool-less Mounting System.",194,565,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,LCR65,In-Wall,Speaker,Indoor,"Composer Theater Series - In-Wall LCR Loudspeaker with aluminum Tweeter, Dual 6.5"" IMG Woofers, and Patented SpringLock Tool-less Mounting System.",194,565,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,LCR67,In-Wall,Speaker,Indoor,"Composer Theater Series - In-Wall LCR Loudspeaker with Exclusive Silk DPSD Tweeter, Dual 6.5 Glass Fiber Woofers, and Patented SpringLock Tool-less Mounting System.",269,774,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,LCR69,In-Wall,Speaker,Indoor,"Composer Theater Series - In-Wall LCR Loudspeaker with Exclusive Silk DPSD Tweeter, Dual 6.5"" Kevlar Woofers, and Patented SpringLock Tool-less Mounting System.",377,1086,each (ea),,,51Hz–20kHz,,,,,"2× 6.5"" Kevlar®",,"1"" Silk DPSD™",,,,,,,,,,,,,,,,,RMS: 40W RMS | Peak: 150W,,,6 ohm,,,,In-Wall LCR Speaker,,
Origin Acoustics,AMBI,LSH40,Landscape,Speaker,Outdoor,"Ambisonic Hexagonal Landscape Satellite — 3.5"" All-Weather Glass Fiber Cone Woofer with 1"" Round Planar Magnetic Ribbon Driver. 50W RMS, 8 Ohm / 70V, 102dB SPL.",,,each (ea),"3.5"" All-Weather Glass Fiber Cone Woofer + 1"" Round Planar Magnetic Ribbon Driver",,110Hz–20kHz (–10dB) | 150Hz–20kHz (±3dB),,"24"" x 14 AWG Pigtail with Waterproof Wire-nuts",,,,,,120° Conical,,,,,,,,,,,,,,,,50W RMS,"Face: 4.01""H x 4.29""W | Body: 8.26""L x 5.11""H",,8 Ohm | 70V,85dB (1m/2.83V),"102dB Continuous, 108dB Peak",70V / 50W,Ribbon Equipped Landscape Satellite Loudspeaker,Powder Coated Aluminum,"Black, Champagne, Silver"
Origin Acoustics,AMBI,LSH60,Landscape,Speaker,Outdoor,"Ambisonic Hexagonal Landscape Satellite — 5.25"" All-Weather Glass Fiber Cone Woofer with 2.8"" Planar Magnetic Ribbon Driver. 75W RMS, 8 Ohm / 70V, 106dB SPL.",,,each (ea),"5.25"" All-Weather Glass Fiber Cone Woofer + 2.8"" Planar Magnetic Ribbon Driver",,95Hz–20kHz (–10dB) | 125Hz–20kHz (±3dB),,"24"" x 14 AWG Pigtail with Waterproof Wire-nuts",,,,,,110° Horizontal | 80° Vertical,,,,,,,,,,,,,,,,75W RMS,"Face: 6.22""H x 6.69""W | Body: 8.26""L x 8.46""H",,8 Ohm | 70V,88dB (1m/2.83V),"106dB Continuous, 112dB Peak",70V / 75W,Ribbon Equipped Landscape Satellite Loudspeaker,Powder Coated Aluminum,"Black, Champagne, Silver"
Origin Acoustics,AMBI,LSH80,Landscape,Speaker,Outdoor,"Ambisonic Hexagonal Landscape Satellite — 6.5"" All-Weather Glass Fiber Cone Woofer with 3"" Planar Magnetic Ribbon Driver. 100W RMS, 8 Ohm / 70V, 109dB SPL.",,,each (ea),"6.5"" All-Weather Glass Fiber Cone Woofer + 3"" Planar Magnetic Ribbon Driver",,70Hz–20kHz (–10dB) | 100Hz–20kHz (±3dB),,"24"" x 14 AWG Pigtail with Waterproof Wire-nuts",,,,,,100° Horizontal | 70° Vertical,,,,,,,,,,,,,,,,100W RMS,"Face: 7""H x 7.48""W | Body: 9.84""L x 9.25""H",,8 Ohm | 70V,89dB (1m/2.83V),"109dB Continuous, 115dB Peak",70V / 100W,Ribbon Equipped Landscape Satellite Loudspeaker,Powder Coated Aluminum,"Black, Champagne, Silver"
Ambisonic,Seasons,LSR40,Landscape,Speaker,Outdoor,Ambisonic Systems - Landscape Loudspeaker,323,645,each (ea),,,110Hz–20kHz (–10dB); 150Hz–20kHz ±3dB,,,,,"3.5"" All-Weather Glass Fiber Cone",,"1"" Round Planar Magnetic Ribbon",120° Conical,,,,,,,,,,,,,,,,RMS: 50W RMS,"6.53""H × 4.13""W × 6.63""L (166×105×168mm)",,8 Ohm,85.0,Cont: 102.0dB / Peak: 108.0dB,70V / 50W Transformer,Ribbon Landscape Satellite Loudspeaker,"Color-molded Composite, All-Weather",
Ambisonic,Seasons,LSR60,Landscape,Speaker,Outdoor,Ambisonic Systems - 75w Weather Resistant Ribbon Landscape Loudspeaker,484,968,each (ea),,,95Hz–20kHz (–10dB); 125Hz–20kHz ±3dB,,,,,"5.25"" All-Weather Glass Fiber Cone",,"2.8"" Planar Magnetic Ribbon","110° H, 80° V",,,,,,,,,,,,,,,,RMS: 75W RMS,"8.75""H × 6.64""W × 10.38""L (222×168×263mm)",,8 Ohm,88.0,Cont: 106.0dB / Peak: 112.0dB,70V / 75W Transformer,Ribbon Landscape Satellite Loudspeaker,"Color-molded Composite, All-Weather",
Ambisonic,Seasons,LSR80,Landscape,Speaker,Outdoor,"Ambisonic Systems LSR80 - 6"" Weather Resistant Ribbon Landscape Loudspeaker",592,1183,each (ea),,,70Hz–20kHz (–10dB); 100Hz–20kHz ±3dB,,,,,"6"" All-Weather Glass Fiber Cone",,"3.1"" Planar Magnetic Ribbon","100° H, 60° V",,,,,,,,,,,,,,,,RMS: 100W RMS,"10.70""H × 8""W × 12.50""L (272×203×318mm)",,8 Ohm,89.0,Cont: 109.0dB / Peak: 115.0dB,70V / 100W Transformer,Ribbon Landscape Satellite Loudspeaker,"Color-molded Composite, All-Weather",
Origin Acoustics,Marquee,M2500,In-Ceiling,Speaker,Indoor,Marquee Collection - In-Ceiling 3-Way Loudspeaker.,968,2580,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Acoustics,Marquee,M3500,On-Wall,Speaker,Indoor,Marquee Collection - Surround Sound On-Wall Loudspeaker,1774,4139,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Acoustics,Marquee,M5500,On-Wall,Speaker,Indoor,Marquee Collection - 3-Way Theater LCR Loudspeaker,2419,5483,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data — skipped,
Origin Acoustics,MOS,MOS36K,In-Ceiling,Speaker,Indoor,1X MOS36BOX 1X MOS36MRM,592,1495,Kit/Package,,Custom Two-Way Passive 200Hz,35Hz–20kHz (–10dB); 44Hz–20kHz (–3dB),,,,,,,,100° Conical,,,,,,,,,,,,,,,,RMS: 75W RMS | Peak: 200W,,,4?,84.0,Cont: 102.0dB / Peak: 107.0dB,,Two-Way Full Range Loudspeaker,Input: 2P Phoenix Connector,
Origin Acoustics,Seasons,OS50B,Surface Mount,Speaker,Outdoor,"Seasons On-Wall Series - Outdoor On-Wall Loudspeaker with Aluminum Dome Tweeter and 5.25"" PP Woofer (Black). No Transformer.",242,538,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Seasons,OS60B,Surface Mount,Speaker,Outdoor,"Seasons On-Wall Series - Outdoor On-Wall Loudspeaker with Aluminum Dome Tweeter and 6.5"" PP Woofer. No Transformer",301,667,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Seasons,OS60DTB,Surface Mount,Speaker,Outdoor,"Seasons On-Wall Series - Outdoor On-Wall Loudspeaker with dual Aluminum Dome Tweeters and 6.5"" injection PP Woofer. No Transformer. Black",205,457,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Seasons,OS80B,Surface Mount,Speaker,Outdoor,"Seasons On-Wall Series - Outdoor On-Wall Loudspeaker with Aluminum Dome Tweeter and 8"" PP Woofer (Black). No Transformer.",457,1011,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Seasons,OSR65,Rock,Speaker,Outdoor,"Seasons Collection - 6"" Rock Style Loudspeaker with optional 70v tap settings.",162,377,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data — skipped,
Origin Acoustics,Seasons,OSR85,Rock,Speaker,Outdoor,"Seasons Collection - 8"" Rock Style Loudspeaker with optional 70v tap settings.",232,538,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data — skipped,
Origin Acoustics,Seasons,OSUB10,Landscape,Subwoofer,Outdoor,"Seasons Landscape Series - 10"" Outdoor Subwoofer with Rugged Polycomposite Enclosure, Designed For In-Ground Installation (8-ohm or 70v Taps).",1011,2021,each (ea),"10"" Poly Woofer",,32Hz – 100kHz,,,,,,,,,,,,,,,,,,,,,,,,Handling: 300W,"Ø15 3/4"" x 21 1/2"" H (Ø400 x 546mm)",,70V | 8 Ohm,,,300W,,,
Origin Acoustics,Seasons,OSUB12,Landscape,Subwoofer,Outdoor,"Seasons Landscape Series - 12"" Outdoor Subwoofer with Rugged Polycomposite Enclosure, Designed For In-Ground Installation (8-ohm or 70v Taps).",1376,2747,each (ea),"12"" Poly Woofer",,23Hz – 100kHz,,,,,,,,,,,,,,,,,,,,,,,,Handling: 300W,"Ø17 3/4"" x 23 1/2"" H (Ø451 x 597mm)",,70V | 8 Ohm,,,300W,,,
Origin Pro,Producer,P80DT,In-Ceiling,Speaker,Indoor,"Producer 8"" Series - In-Ceiling Loudspeaker with Dual Silk Tweeters and 8"" Poly-Rubber Woofer.",135,387,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Pro,Pro,PC50,In-Ceiling,Speaker,Indoor,"Professional PC50 5.25"" In-Ceiling Loudspeaker (Black Round/Square Grille)",242,484,Pair (pr),,,54Hz–20kHz (–10dB); 80Hz–20kHz (–3dB),,,,,"5.25"" IMPP",,"3/4"" Silk DSPD™ MMP™",120° Conical,"8.125"" (206mm)","7.5"" (190mm)","Grille: 8-11/16"" (220mm)",,,,,,,,,,,,,RMS: 30W Cont. | Prog: 60W,"Dia: 8.25"" (210mm)",,6 Ohm,89.0,Peak: 106.0dB,"70V: 30W, 15W, 7.5W, 3.8W; 100V: 30W, 15W, 7.5W",In-Ceiling Speaker,"Metal Can, Zinc Plated","Black, White"
Origin Pro,Pro,PC60,In-Ceiling,Speaker,Indoor,"Professional 6.5"" In-Ceiling Loudspeaker (Black Round/Square Grille)",301,602,Pair (pr),,,50Hz–20kHz (–10dB); 64Hz–20kHz (–3dB),,,,,"6.5"" IMPP",,"1"" Silk DSPD™ MMP™",115° Conical,"8.125"" (206mm)","8-13/16"" (224mm)","Grille: 10"" (254mm)",,,,,,,,,,,,,RMS: 40W Cont. | Prog: 80W,"Dia: 9-5/8"" (244mm)",,6 Ohm,91.0,Peak: 108.0dB,"70V: 60W, 30W, 15W, 7.5W; 100V: 60W, 30W, 15W",In-Ceiling Speaker,"Metal Can, Zinc Plated","Black, White"
Origin Pro,Pro,PC60S,In-Ceiling,Speaker,Indoor,"Professional 6.5"" In-Ceiling Loudspeaker Slim Version (Black Round/Square Grille)",301,602,Pair (pr),,,54Hz–20kHz (–10dB); 81Hz–20kHz (–3.5dB),,,,,"6.5"" IMPP",,"1"" Silk DSPD™ MMP™",90° Conical,"4-23/64"" (110mm)","10.5"" (266mm)","Grille: 11-5/8"" (296mm)",,,,,,,,,,,,,RMS: 40W Cont. | Prog: 80W,"Dia: 11.25"" (286mm)",,6 Ohm,87.0,Peak: 106.0dB,"70V: 60W, 30W, 15W, 7.5W; 100V: 60W, 30W, 15W",In-Ceiling Speaker (Short Can),"Metal Can, Zinc Plated","Black, White"
Origin Pro,Pro,PC80,In-Ceiling,Speaker,Indoor,"Professional 8"" In-Ceiling Loudspeaker (Black Round/Square Grille)",447,893,Pair (pr),,,41Hz–20kHz (–10dB); 60Hz–20kHz (–3dB),,,,,"8"" IMPP",,"1"" Silk DSPD™ MMP™",100° Conical,"9-13/16"" (247mm)","10.5"" (266mm)","Grille: 11-5/8"" (296mm)",,,,,,,,,,,,,RMS: 60W Cont. | Prog: 120W,"Dia: 11.25"" (286mm)",,6 Ohm,92.0,Peak: 112.0dB,"70V: 60W, 30W, 15W, 7.5W; 100V: 60W, 30W, 15W",In-Ceiling Speaker,"Metal Can, Zinc Plated","Black, White"
Origin Pro,Pro,PCSUB8 ,In-Ceiling,Speaker,Indoor,"Professional In-Ceiling Sub 80 8"" IC Sub 8"" metal can subwoofer  (Black Round/Square Grille)",307,613,each (ea),,,40Hz–250Hz (–10dB); 55Hz–250Hz (–3dB),,,,,"8"" Polypropylene",,—,180° Conical,,,,,,,,,,,,,,,,RMS: 125W Cont. | Prog: 200W,"Dia: 10"" (254mm) / Length: 16.25"" (412mm)",,8 Ohm,90.0,Peak: 110.0dB,"70V: 120W, 60W, 30W, 15W; 100V: 120W, 60W, 30W",Pendant Subwoofer,"8"" Passive Radiator","Black, White"
Origin Pro,Pro,PP50,Pendant,Speaker,Indoor,"Professional Pendant 5.25"" Loudspeaker",301,602,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Ohm,,,,,,
Origin Pro,Pro,PP60,Pendant,Speaker,Indoor,"Professional Pendant 6.5"" Pendant Loudspeaker",366,731,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Ohm,,,,,,
